anime_id,mean_rating,count,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
1,8.776724137931035,2320,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Cowboy Bebop,カウボーイビバップ,TV,26,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),28.0,39,1251960,61971,105808,718161,71513,26678,329800,229170.0,182126.0,131625.0,62330.0,20688.0,8904.0,3184.0,1357.0,741.0,1580.0
5,8.34965034965035,1001,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Cowboy Bebop:The Movie,カウボーイビバップ 天国の扉,Movie,1,"Sep 1, 2001",Unknown,"Sunrise, Bandai Visual",Sony Pictures Entertainment,Bones,Original,1 hr. 55 min.,R - 17+ (violence & profanity),159.0,518,273145,1174,4143,208333,1935,770,57964,30043.0,49201.0,49505.0,22632.0,5805.0,1877.0,577.0,221.0,109.0,379.0
6,8.207658321060382,1358,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",Trigun,トライガン,TV,26,"Apr 1, 1998 to Sep 30, 1998",Spring 1998,Victor Entertainment,"Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,266.0,201,558913,12944,29113,343492,25465,13925,146918,50229.0,75651.0,86142.0,49432.0,15376.0,5838.0,1965.0,664.0,316.0,533.0
20,7.813849394418114,3798,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",Naruto,ナルト,TV,220,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,"TV Tokyo, Aniplex, Shueisha",VIZ Media,Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,660.0,8,1830540,65586,137167,1462223,61734,99806,69610,216866.0,234481.0,345563.0,286175.0,108155.0,46886.0,15477.0,6098.0,3582.0,5310.0
30,8.271403197158081,2815,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,26,"Oct 4, 1995 to Mar 27, 1996",Fall 1995,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","ADV Films, Netflix","Gainax, Tatsunoko Production",Original,24 min. per ep.,PG-13 - Teens 13 or older,208.0,54,1160651,71308,66549,815938,35566,20358,222240,186797.0,168056.0,157596.0,93532.0,38385.0,17571.0,9686.0,4408.0,3263.0,3714.0
32,8.422160664819945,1805,Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion:The End of Evangelion,新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,Movie,1,"Jul 19, 1997",Unknown,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka",Manga Entertainment,"Gainax, Production I.G",Original,1 hr. 27 min.,R+ - Mild Nudity,102.0,195,572080,17811,8055,482918,2462,1499,77146,127081.0,95821.0,77593.0,41261.0,16444.0,7057.0,4493.0,2279.0,1941.0,2264.0
33,8.460606060606061,1155,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",Berserk,剣風伝奇ベルセルク,TV,25,"Oct 8, 1997 to Apr 1, 1998",Fall 1997,"VAP, Hakusensha, Nippon Television Network","Media Blasters, NYAV Post",OLM,Manga,25 min. per ep.,R+ - Mild Nudity,108.0,301,432190,18567,19540,276588,12737,9406,113919,58627.0,65906.0,60815.0,29055.0,9477.0,3899.0,1748.0,671.0,456.0,842.0
43,8.21521456436931,1538,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Ghost in the Shell,GHOST IN THE SHELL（攻殻機動隊）,Movie,1,"Nov 18, 1995",Unknown,"Bandai Visual, Kodansha",Manga Entertainment,Production I.G,Manga,1 hr. 22 min.,R+ - Mild Nudity,236.0,265,468279,10362,8152,325682,3404,1927,129114,56237.0,65298.0,70881.0,39446.0,13704.0,5107.0,1842.0,675.0,292.0,486.0
47,7.908129175946548,1796,Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",AKIRA,AKIRA（アキラ）,Movie,1,"Jul 16, 1988",Unknown,"Mainichi Broadcasting System, Kodansha, Toho","Funimation, Bandai Entertainment, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,2 hr. 4 min.,R+ - Mild Nudity,333.0,197,566538,9555,8258,434086,3491,2174,118529,77192.0,82148.0,91288.0,54906.0,22369.0,9462.0,4322.0,1737.0,992.0,1067.0
59,7.583557951482479,1484,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",Chobits,ちょびっツ,TV,26,"Apr 3, 2002 to Sep 25, 2002",Spring 2002,"TBS, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1804.0,332,402646,3859,15294,272425,18082,22409,74436,20499.0,32733.0,55560.0,58689.0,29800.0,14855.0,5772.0,2124.0,1159.0,816.0
71,7.7618083670715246,1482,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",Full Metal Panic!,フルメタル・パニック！,TV,24,"Jan 8, 2002 to Jun 18, 2002",Winter 2002,Kadokawa Shoten,"ADV Films, Funimation",Gonzo,Light novel,24 min. per ep.,R - 17+ (violence & profanity),1146.0,322,411230,4417,17458,264665,16076,13806,99225,17675.0,36500.0,64969.0,56993.0,21492.0,9171.0,3035.0,991.0,448.0,329.0
72,8.248055315471046,1157,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ,TV,12,"Aug 26, 2003 to Oct 18, 2003",Summer 2003,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do","ADV Films, Funimation",Kyoto Animation,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,452.0,571,254465,2988,5383,204041,4435,3533,37073,24023.0,37507.0,45884.0,30305.0,11085.0,4417.0,1332.0,442.0,194.0,164.0
101,7.4692737430167595,1074,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",Air,AIR,TV,12,"Jan 7, 2005 to Mar 25, 2005",Winter 2005,"Pony Canyon, TBS, Movic","ADV Films, Funimation",Kyoto Animation,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,2230.0,563,259381,2704,7367,170036,8109,9992,63877,15057.0,20060.0,31042.0,33295.0,19368.0,10463.0,4988.0,2039.0,1105.0,803.0
120,7.9202407825432655,1329,Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",Fruits Basket,フルーツバスケット,TV,26,"Jul 5, 2001 to Dec 27, 2001",Summer 2001,"TV Tokyo, Nihon Ad Systems, King Records",Funimation,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1058.0,314,420919,9504,15410,297921,12910,16709,77969,31688.0,40622.0,59206.0,56487.0,25501.0,12518.0,4273.0,1538.0,810.0,684.0
121,8.300603217158177,2984,Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",Fullmetal Alchemist,鋼の錬金術師,TV,51,"Oct 4, 2003 to Oct 2, 2004",Fall 2003,"Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System","Funimation, Aniplex of America",Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,337.0,52,1151621,26564,52738,880215,41631,38693,138344,124399.0,176993.0,211302.0,133850.0,44438.0,16255.0,5872.0,1769.0,970.0,1150.0
164,8.681242807825086,2607,Mononoke Hime,8.72,"Action, Adventure, Fantasy",Princess Mononoke,もののけ姫,Movie,1,"Jul 12, 1997",Unknown,"Tokuma Shoten, Nippon Television Network",GKIDS,Studio Ghibli,Original,2 hr. 15 min.,PG-13 - Teens 13 or older,40.0,91,876813,17114,11422,735624,3384,1386,124997,184173.0,167754.0,131050.0,57874.0,17052.0,5570.0,1660.0,545.0,283.0,702.0
