anime_id,count
1,2320
5,1001
6,1358
20,3798
30,2815
32,1805
33,1155
43,1538
47,1796
59,1484
71,1482
72,1157
101,1074
120,1329
121,2984
164,2607
199,3787
205,2058
223,1951
225,1411
226,3458
227,1916
232,1021
245,1534
249,1113
268,1012
269,1823
270,1689
317,1130
339,1162
355,1610
356,2242
430,1349
431,2764
437,1240
457,1198
512,1401
513,1300
523,2260
527,1462
528,1058
552,1181
572,1105
578,1526
777,1399
790,1080
813,2257
849,2771
853,2389
857,1007
889,1939
918,1010
934,1911
1195,2139
1210,1740
1482,1099
1519,1538
1530,1010
1535,5452
1575,4145
1686,1195
1689,2519
1691,1155
1735,1707
1818,1581
1840,1689
1887,1700
1889,1456
1943,1230
2001,2767
2025,2064
2034,1351
2167,3174
2236,2297
2251,1792
2476,1977
2593,1320
2759,1362
2787,1194
2890,1207
2904,3638
2966,1883
2993,1923
3455,1432
3457,1642
3470,1062
3588,2439
3712,1528
3782,1083
3783,1018
3784,1281
4059,1512
4063,1134
4081,1069
4181,2743
4214,1334
4224,4123
4382,1760
4654,1745
4752,1279
4898,1935
4975,1121
5081,2932
5114,4114
5341,1433
5630,1561
5680,2509
5681,1637
5958,1272
6045,1724
6213,1270
6347,1725
6351,1191
6547,4254
6573,1318
6702,2013
6707,1218
6746,2712
6880,2382
6956,1282
7054,2365
7059,1077
7088,1349
7311,1629
7593,1449
7674,1429
7724,1329
7791,1645
7817,1222
8074,3285
8425,1247
8516,1197
8525,1816
8630,1032
8675,1282
8769,2159
8841,1750
8861,1236
8937,1188
9041,1560
9253,3725
9260,1050
9513,1014
9515,1103
9656,1132
9756,2925
9919,3226
9989,3160
10030,1087
10067,1087
10080,1392
10087,2634
10110,1345
10162,1379
10165,1222
10408,1716
10620,3639
10719,2221
10790,1179
10793,2327
10863,1486
11013,1183
11061,2339
11111,3256
11319,1110
11433,1035
11499,1531
11577,1495
11597,1923
11617,2653
11633,1405
11741,2263
11757,4947
11759,1565
11771,1963
11843,1696
11887,1764
12189,2045
12355,1679
12445,1028
12549,1043
13125,1232
13601,2490
13659,1449
13759,2337
14075,1253
14227,2188
14289,1431
14345,1956
14467,1609
14513,1761
14713,1041
14719,1982
14741,2729
14749,1177
14813,2721
14967,1618
15051,1044
15225,1229
15315,1417
15451,1789
15583,1938
15689,1543
15809,2989
16001,1052
16067,1050
16498,5197
16592,1753
16706,1020
16742,1468
16762,1099
16782,1893
16894,1544
17074,1418
17265,1876
17729,1162
17895,1762
18115,1390
18153,2089
18277,1177
18507,1472
18671,1583
18679,2387
18897,2115
19163,1352
19221,1138
19815,3835
20021,1003
20507,3416
20583,2176
20785,1806
20787,1790
20899,1473
21855,1042
21881,3052
21995,1440
22043,1030
22147,1476
22199,2766
22297,2023
22319,3897
22535,2669
22729,1329
22789,1527
23199,1160
23233,1148
23273,2954
23277,1181
23281,1315
23283,2112
23289,1867
23321,1195
23755,2861
23847,1960
24415,1230
24439,1251
24703,1345
24833,2377
25013,1304
25157,1463
25183,1087
25397,1143
25777,3009
26055,1390
26243,1969
26349,1048
27775,1426
27787,1384
27821,1069
27899,2931
28121,2520
28171,2538
28223,2594
28297,1103
28497,1345
28623,1505
28677,1513
28701,1711
28825,1234
28851,2977
28891,1832
28907,1625
28927,1360
28999,2468
29786,1419
29803,2262
30015,1804
30123,1020
30240,1710
30276,4126
30296,1526
30307,1277
30503,2295
30544,1247
30654,1621
30831,3003
31043,3195
31240,3031
31404,1001
31478,1500
31580,1024
31637,1380
31722,1105
31765,1281
31798,1256
31859,1288
31933,1231
31964,3635
32182,2330
32281,3791
32282,1899
32542,1239
32615,1428
32729,1088
32867,1124
32901,1228
32935,1536
32937,2315
32949,1019
32951,1105
32995,1195
32998,1022
33206,1699
33255,1027
33352,1832
33486,2898
33487,1326
33506,1080
33674,1178
34134,1657
34240,1136
34280,1059
34577,1347
34599,1747
34618,1041
34902,1247
34933,1719
35073,1560
35120,1274
35507,1369
35760,2336
35788,1409
35790,1612
35849,1656
35968,1117
36456,2277
36474,1173
36511,1159
36949,1076
37349,1441
37430,1385
37450,1728
37510,1548
37520,1065
37521,1082
37675,1229
37779,2030
37999,1797
38000,2343
38408,1425
38524,2031
38691,1581
39587,1104
40221,1047
40591,1236
